title,viewCount,subscriberCount,videoCount,retrievedAt
EMS (Ethiopian Media Services),39960200,219000,852,2023-02-11 23:04:34 UTC
ETHIO 251 MEDIA ,11173673,101000,853,2023-02-11 23:04:34 UTC
Ethio 360 Media,217094305,574000,3836,2023-02-11 23:04:34 UTC
Ethio News - ኢትዮ ኒውስ,26662261,161000,1318,2023-02-11 23:04:34 UTC
Feta Daily News,141412779,576000,900,2023-02-11 23:04:34 UTC
GEBEYANU,10193055,107000,595,2023-02-11 23:04:34 UTC
MENELIK TELEVISION 3,9236,434,20,2023-02-11 23:04:34 UTC
Mager Media - ማገር ,1150260,22300,304,2023-02-11 23:04:34 UTC
Mengizem Media ምንጊዜም ሚዲያ,3410883,30300,1182,2023-02-11 23:04:34 UTC
OMN,107466623,506000,9365,2023-02-11 23:04:34 UTC
Reyot,40700515,187000,2002,2023-02-11 23:04:34 UTC
Roha ,10039904,92600,853,2023-02-11 23:04:34 UTC
Terara Network,3387310,45200,276,2023-02-11 23:04:34 UTC
Tigrai Media House,153009573,350000,5290,2023-02-11 23:04:34 UTC
ኢትዮ ሰላም  Ethio Selam,2481993,34100,99,2023-02-11 23:04:34 UTC
ዓባይ ዜና - Abbay News,16767436,333000,1080,2023-02-11 23:04:34 UTC
Abebe Belew,28172212,148000,1019,2023-02-12 23:04:44 UTC
Adebabay Media,12869353,98700,905,2023-02-12 23:04:44 UTC
Alpha Media አልፋ ሚዲያ,4833711,38800,885,2023-02-12 23:04:44 UTC
Anchor Ethiopia ,3727209,72400,137,2023-02-12 23:04:44 UTC
Andafta,264026690,886000,5844,2023-02-12 23:04:44 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,403506,13300,46,2023-02-12 23:04:44 UTC
Ashara Media - አሻራ ሚዲያ,2226090,31900,612,2023-02-12 23:04:44 UTC
EMS (Ethiopian Media Services),40089209,219000,854,2023-02-12 23:04:44 UTC
ETHIO 251 MEDIA ,11205140,101000,853,2023-02-12 23:04:44 UTC
Ethio 360 Media,217433989,575000,3841,2023-02-12 23:04:44 UTC
Ethio News - ኢትዮ ኒውስ,26685354,161000,1318,2023-02-12 23:04:44 UTC
Feta Daily News,141653393,577000,901,2023-02-12 23:04:44 UTC
GEBEYANU,10193389,107000,595,2023-02-12 23:04:44 UTC
MENELIK TELEVISION 3,13499,451,20,2023-02-12 23:04:44 UTC
Mager Media - ማገር ,1151034,22300,304,2023-02-12 23:04:44 UTC
Mengizem Media ምንጊዜም ሚዲያ,3419475,30400,1185,2023-02-12 23:04:44 UTC
OMN,107612291,506000,9372,2023-02-12 23:04:44 UTC
Reyot,40744107,187000,2002,2023-02-12 23:04:44 UTC
Roha ,10112373,92700,855,2023-02-12 23:04:44 UTC
Terara Network,3387478,45200,276,2023-02-12 23:04:44 UTC
Tigrai Media House,153056205,350000,5293,2023-02-12 23:04:44 UTC
Zara Media Network - ዛራ,19183178,127000,343,2023-02-12 23:04:44 UTC
Zemedkun Bekele Podcast,245511,10500,61,2023-02-12 23:04:44 UTC
ኢትዮ ሰላም  Ethio Selam,2489285,34100,99,2023-02-12 23:04:44 UTC
ዓባይ ዜና - Abbay News,16835010,333000,1081,2023-02-12 23:04:44 UTC
Abebe Belew,28217217,149000,1019,2023-02-13 23:04:59 UTC
Adebabay Media,12875866,98700,906,2023-02-13 23:04:59 UTC
Alpha Media አልፋ ሚዲያ,4844883,38800,886,2023-02-13 23:04:59 UTC
Anchor Ethiopia ,3967690,72700,138,2023-02-13 23:04:59 UTC
Andafta,264085189,887000,5847,2023-02-13 23:04:59 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,407396,13300,46,2023-02-13 23:04:59 UTC
Ashara Media - አሻራ ሚዲያ,2232136,32000,616,2023-02-13 23:04:59 UTC
EMS (Ethiopian Media Services),40140199,219000,857,2023-02-13 23:04:59 UTC
ETHIO 251 MEDIA ,11194842,101000,854,2023-02-13 23:04:59 UTC
Ethio 360 Media,217812252,575000,3844,2023-02-13 23:04:59 UTC
Ethio News - ኢትዮ ኒውስ,26695939,161000,1321,2023-02-13 23:04:59 UTC
Feta Daily News,141875009,577000,903,2023-02-13 23:04:59 UTC
GEBEYANU,10193778,107000,595,2023-02-13 23:04:59 UTC
MENELIK TELEVISION 3,14562,500,20,2023-02-13 23:04:59 UTC
Mager Media - ማገር ,1151811,22300,304,2023-02-13 23:04:59 UTC
Mengizem Media ምንጊዜም ሚዲያ,3434736,30400,1188,2023-02-13 23:04:59 UTC
OMN,107718075,506000,9379,2023-02-13 23:04:59 UTC
Reyot,40795887,187000,2003,2023-02-13 23:04:59 UTC
Roha ,10149658,92900,857,2023-02-13 23:04:59 UTC
Terara Network,3387626,45200,276,2023-02-13 23:04:59 UTC
Tigrai Media House,153106737,350000,5296,2023-02-13 23:04:59 UTC
Zara Media Network - ዛራ,19248825,127000,344,2023-02-13 23:04:59 UTC
Zemedkun Bekele Podcast,255869,10700,62,2023-02-13 23:04:59 UTC
ኢትዮ ሰላም  Ethio Selam,2492977,34200,100,2023-02-13 23:04:59 UTC
ዓባይ ዜና - Abbay News,16868058,334000,1083,2023-02-13 23:04:59 UTC
Abebe Belew,28241367,149000,1020,2023-02-14 23:04:59 UTC
Adebabay Media,12894516,98800,907,2023-02-14 23:04:59 UTC
Alpha Media አልፋ ሚዲያ,4857124,38900,886,2023-02-14 23:04:59 UTC
Anchor Ethiopia ,4027609,72800,140,2023-02-14 23:04:59 UTC
Andafta,264196160,887000,5850,2023-02-14 23:04:59 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,409748,13300,48,2023-02-14 23:04:59 UTC
Ashara Media - አሻራ ሚዲያ,2239323,32000,619,2023-02-14 23:04:59 UTC
EMS (Ethiopian Media Services),40223078,219000,862,2023-02-14 23:04:59 UTC
ETHIO 251 MEDIA ,11210174,101000,856,2023-02-14 23:04:59 UTC
Ethio 360 Media,218158930,576000,3847,2023-02-14 23:04:59 UTC
Ethio News - ኢትዮ ኒውስ,26733962,161000,1324,2023-02-14 23:04:59 UTC
Feta Daily News,142084906,577000,897,2023-02-14 23:04:59 UTC
GEBEYANU,10194162,107000,595,2023-02-14 23:04:59 UTC
MENELIK TELEVISION 3,17350,514,24,2023-02-14 23:04:59 UTC
Mager Media - ማገር ,1152496,22300,304,2023-02-14 23:04:59 UTC
Mengizem Media ምንጊዜም ሚዲያ,3444509,30500,1190,2023-02-14 23:04:59 UTC
OMN,107801625,507000,9388,2023-02-14 23:04:59 UTC
Reyot,40830059,187000,2004,2023-02-14 23:04:59 UTC
Roha ,10220396,93000,859,2023-02-14 23:04:59 UTC
Terara Network,3387773,45200,276,2023-02-14 23:04:59 UTC
Tigrai Media House,153167582,350000,5299,2023-02-14 23:04:59 UTC
Zara Media Network - ዛራ,19315568,127000,345,2023-02-14 23:04:59 UTC
Zemedkun Bekele Podcast,272022,11100,63,2023-02-14 23:04:59 UTC
